# Content inventory — basis for Phase 2 front matter (primary_cluster scheme, NOT Hugo taxonomies).
# Columns 9-11 (primary_cluster / related_clusters / cta) are the REVIEWER-APPROVED BASELINE (2026-08-01): 12 rows re-clustered, 2 CTAs adjusted from the original proposal.
# cta: advisory = pillar CTA -> /advisory/#projects; subscribe = newsletter entry only; none = draft or no-CTA layout.
# Baseline approved 2026-08-01 (original proposal at 25cb4fe); regenerate/update on content changes.
title	source_path	url	lang	type	draft	canonical	current_cta	primary_cluster	related_clusters	proposed_cta
Why 156,000 Citations Can Be Worth Less Than 18,700 in Biopharma	content/blog/2026-03-25-why-156000-citations-can-be-worth-less-than-18700-in-biophar.md	/blog/2026-03-25-why-156000-citations-can-be-worth-less-than-18700-in-biophar/	en	blog article	false	medium	advisory (template)	capital-and-society	bio-ai	subscribe
From Structure to Behaviour: Why Protein AI Is Entering the Dynamics Era	content/blog/2026-03-29-from-structure-to-behaviour-why-protein-ai-is-entering-the-d.md	/blog/2026-03-29-from-structure-to-behaviour-why-protein-ai-is-entering-the-d/	en	blog article	false	medium	advisory (template)	bio-ai		subscribe
Article 2 | The Real AI Supply Chain: A Power Map Beyond the GPU	content/blog/2026-04-01-article-2-the-real-ai-supply-chain-a-power-map-beyond-the-gp.md	/blog/2026-04-01-article-2-the-real-ai-supply-chain-a-power-map-beyond-the-gp/	en	blog article	false	medium	advisory (template)	semiconductors	ai-infrastructure	advisory
Article 3 | How Deep Is the Moat? Reading TSMC, SK Hynix, and Micron Through Their SEC Filings	content/blog/2026-04-02-article-3-how-deep-is-the-moat-reading-tsmc-sk-hynix-and-mic.md	/blog/2026-04-02-article-3-how-deep-is-the-moat-reading-tsmc-sk-hynix-and-mic/	en	blog article	false	medium	advisory (template)	semiconductors	capital-and-society,ai-infrastructure	advisory
Why Real Breakthroughs Are Not One Person’s Victory	content/blog/2026-04-02-why-real-breakthroughs-are-not-one-persons-victory.md	/blog/2026-04-02-why-real-breakthroughs-are-not-one-persons-victory/	en	blog article	false	medium	advisory (template)	capital-and-society		subscribe
When AI Starts Predicting the Next Scientific Question	content/blog/2026-04-05-when-ai-starts-predicting-the-next-scientific-question.md	/blog/2026-04-05-when-ai-starts-predicting-the-next-scientific-question/	en	blog article	false	medium	advisory (template)	capital-and-society		subscribe
Article 4 | Stress-Testing the Moat: Four Threats That Could Rewrite the AI Supply Chain	content/blog/2026-04-07-article-4-stress-testing-the-moat-four-threats-that-could-re.md	/blog/2026-04-07-article-4-stress-testing-the-moat-four-threats-that-could-re/	en	blog article	false	medium	advisory (template)	semiconductors	ai-infrastructure	advisory
Beyond the GPU: What the AI Infrastructure Buildout Means for the Real Economy	content/blog/2026-04-11-beyond-the-gpu-what-the-ai-infrastructure-buildout-means-for.md	/blog/2026-04-11-beyond-the-gpu-what-the-ai-infrastructure-buildout-means-for/	en	blog article	false	medium	advisory (template)	ai-infrastructure	semiconductors,capital-and-society	advisory
AI Was Never Sudden: A 30-Year View on the Great Repricing of Human Talent	content/blog/2026-04-15-ai-was-never-sudden-a-30-year-view-on-the-great-repricing-of.md	/blog/2026-04-15-ai-was-never-sudden-a-30-year-view-on-the-great-repricing-of/	en	blog article	false	medium	advisory (template)	capital-and-society		advisory
Why Jobs Are No Longer Enough in the AI Economy	content/blog/2026-04-17-why-jobs-are-no-longer-enough-in-the-ai-economy.md	/blog/2026-04-17-why-jobs-are-no-longer-enough-in-the-ai-economy/	en	blog article	false	medium	advisory (template)	capital-and-society		subscribe
